business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
CA02,140105686,SYSC llc,29-04-2020 10:33,2020,2960623488,30-03-2020,10-04-2020 00:00,31-03-2020 00:00,CA10,2309.79,16-30
U001,200744019,TARG us,13-04-2020 06:14,2020,1930659387,19-03-2020,03-04-2020 00:00,19-03-2020 00:00,NAA8,11173.02,0-15
U001,200418007,AM ,03-04-2020 13:40,2020,1930610806,11-03-2020,26-03-2020 00:00,11-03-2020 00:00,NAA8,3525.59,0-15
U001,200739534,OK systems,03-05-2020 12:43,2020,1930788296,15-04-2020,30-04-2020 00:00,15-04-2020 00:00,NAA8,121105.65,0-15
U001,200353024,DECA corporation,30-03-2020 14:52,2020,1930817482,23-04-2020,26-04-2020 00:00,16-04-2020 00:00,NAM2,3726.06,
U001,200744019,TARG associates,18-04-2020 14:52,2020,1930676042,21-03-2020,05-04-2020 00:00,21-03-2020 00:00,NAA8,5893.01,0-15
CA02,140106408,WAL-M corp,28-03-2020 22:48,2020,2960618790,06-03-2020,16-03-2020 00:00,06-03-2020 00:00,CA10,64982.589,0-15
U001,200337148,COAS llc,02-05-2020 17:31,2020,1930592246,02-03-2020,17-03-2020 00:00,02-03-2020 00:00,NAA8,11380.83,46-60
U001,200794332,COST associates,10-05-2020 07:55,2020,1930731070,07-04-2020,22-04-2020 00:00,07-04-2020 00:00,NAAX,3863.93,16-30
U001,200794332,COST llc,24-05-2020 13:26,2020,1930803605,23-04-2020,08-05-2020 00:00,23-04-2020 00:00,NAAX,74453.01,16-30
U001,200803720,DEC corp,09-04-2020 16:04,2020,1930698352,25-03-2020,08-04-2020 00:00,16-03-2020 00:00,NAM4,138.6,0-15
U001,200794332,COST co,11-04-2020 14:09,2020,1930647189,13-03-2020,28-03-2020 00:00,13-03-2020 00:00,NAAX,32715.47,0-15
U001,200020431,DEC us,29-04-2020 22:33,2020,1930861637,06-05-2020,24-05-2020 00:00,01-05-2020 00:00,NAM4,174.72,
U001,200769623,WAL-MAR associates,09-04-2020 03:07,2020,1930635649,12-03-2020,27-03-2020 00:00,12-03-2020 00:00,NAH4,767.78,0-15
CA02,140105785,SHOPPE foundation,02-05-2020 15:07,2020,2960624627,27-03-2020,10-04-2020 00:00,31-03-2020 00:00,CA10,1980.72,16-30
U001,200769623,WAL-MAR ,25-03-2020 21:50,2020,1930577078,28-02-2020,14-03-2020 00:00,28-02-2020 00:00,NAH4,14514.68,0-15
U001,200769623,WAL-MAR foundation,02-05-2020 02:38,2020,1930774741,10-04-2020,25-04-2020 00:00,10-04-2020 00:00,NAH4,55400.31,0-15
U001,200772670,ASSOCIAT corporation,20-05-2020 07:26,2020,1930765053,09-04-2020,24-04-2020 00:00,09-04-2020 00:00,NAU5,174766.36,16-30
